id_movie,year,movie
3,1997,Character
5,2004,The Rise and Fall of ECW
6,1997,Sick
7,1992,8 Man
8,2004,What the #$*! Do We Know!?
9,1991,Class of Nuke 'Em High 2
12,1947,My Favorite Brunette
15,1988,Neil Diamond: Greatest Hits Live
17,2005,7 Seconds
18,1994,Immortal Beloved
19,2000,By Dawn's Early Light
20,1972,Seeta Aur Geeta
22,2000,Chump Change
24,1981,My Bloody Valentine
26,2004,Never Die Alone
28,2002,Lilo and Stitch
29,2001,Boycott
30,2003,Something's Gotta Give
31,1999,Classic Albums: Meat Loaf: Bat Out of Hell
33,2000,Aqua Teen Hunger Force: Vol. 1
37,1973,Zatoichi's Conspiracy
42,2002,Searching for Paradise
44,1996,Spitfire Grill
45,1999,The Love Letter
46,1964,Rudolph the Red-Nosed Reindeer
47,1952,The Bad and the Beautiful
48,2001,Justice League
50,1941,A Yank in the R.A.F.
52,2002,The Weather Underground
53,2003,The Bonesetter
54,1952,We're Not Married
55,1995,Jade
57,1995,Richard III
58,1996,Dragonheart
63,1943,Crash Dive
65,2000,Lost in the Pershing Point Hotel
67,1997,Vampire Journals
69,2003,WWE: Armageddon 2003
72,1974,At Home Among Strangers, A Stranger Among His Own
74,1999,6ixtynin9
75,1997,Grind
77,1995,Congo
78,1996,Jingle All the Way
79,1956,The Killing
80,1979,Winter Kills
82,1951,The Frogmen
83,1983,Silkwood
84,2002,The Powerpuff Girls Movie
86,1996,Iron Monkey 2
89,2000,Chain of Command
90,1951,The Lemon Drop Kid
91,2005,WWE: Royal Rumble 2005
93,2004,They Came Back
95,1985,Dona Herlinda and Her Son
96,2000,Inside the Space Station
99,1989,A Fishy Story
102,2004,Notre Musique
104,1965,The Great Race
105,2002,Obsessed
108,2004,Spartan
110,1989,Scandal
112,1993,The Eye of Vichy
113,2000,Bruce Lee: A Warrior's Journey
115,1973,Lord Peter Wimsey: Murder Must Advertise
116,2004,Bear Cub
117,1957,Silk Stockings
118,1985,Rambo: First Blood Part II
119,1999,Travel the World by Train: Africa
122,2002,Cube 2: Hypercube
123,2000,Chain of Fools
124,2000,Cold Blooded
125,1981,Nighthawks
127,1987,Fatal Beauty
128,1985,Mr. Vampire
129,2003,Darkwolf
130,1999,Drowning on Dry Land
134,1996,Spirit Lost
135,1998,GTO: Great Teacher Onizuka: Set 2
136,1927,Cat and the Canary
137,1998,Naked Lies
140,1993,Lost in the Wild
143,1997,The Game
145,1978,Get Out Your Handkerchiefs
148,2001,Sweet November
150,2001,Firetrap
152,1995,A Little Princess
155,1975,The Strongest Man in the World
156,1992,Husbands and Wives
158,2004,A Killer Within
159,1971,Gentlemen of Fortune
160,2000,Gormenghast
161,1939,Ninotchka
164,2003,One Last Dance
165,1982,Richard Pryor: Live on the Sunset Strip
166,1980,Fame
167,2004,The Chorus
168,1983,Smokey and the Bandit Part 3
170,1972,Tomorrow
171,1957,Funny Face
173,1968,The Devil's Brigade
175,1992,Reservoir Dogs
177,2002,Pressure
178,1996,Regular Guys
181,2004,The Last Shot
182,2001,Moby: Play
186,1950,Panic in the Streets
187,2002,Death to Smoochy
188,2005,Dead Birds
189,1982,Airplane II: The Sequel
190,1989,Blood and Sand
191,2003,X2: X-Men United
193,2005,Marilyn Manson: Fear of a Satanic Planet
195,2004,Chasing Freedom
196,1992,Peter Tosh: Stepping Razor: Red X
197,2004,Taking Lives
198,1997,Gupt
199,1978,The Deer Hunter
200,1964,The Fall of the Roman Empire
201,2001,Home Movie
204,2002,Venus Boyz
205,2004,Troy: Bonus Material
206,2004,Unconstitutional: The War on Our Civil Liberties
209,1996,Star Trek: Deep Space Nine: Season 5
210,2001,Onmyoji
212,1982,Querelle
219,1995,Neon Bible
224,1999,Midsomer Murders: Blood Will Out
225,2004,The Cookout
228,1979,Butch and Sundance: The Early Days
231,2002,Marooned in Iraq
232,1989,Gross Anatomy
235,1996,Unhook the Stars
238,1976,Led Zeppelin: The Song Remains the Same
240,1942,Woman of the Year
241,1959,North by Northwest
243,1962,Pressure Point
245,2002,Road Dogz
246,1968,The Boston Strangler
247,1994,Oleanna
249,1958,The Hunters
250,1966,Cast a Giant Shadow
252,2002,Stuart Little 2
253,1935,A Night at the Opera
254,2003,Westender
257,1973,Charlotte's Web
260,1967,Marat / Sade
261,1948,The Big Clock
262,1974,Herbie Rides Again
266,2000,Saudade Do Futuro
268,1980,The Final Countdown
269,1989,Parenthood
272,1973,Female Yakuza Tale
273,2004,Taxi
274,2002,Crazy as Hell
275,2002,Evelyn
279,1984,Micki and Maude
280,1998,Sarah Brightman: In Concert
281,1993,The Legend
283,1996,If These Walls Could Talk
284,2005,Sasquatch Hunters
285,1997,The Devil's Own
286,1966,Thunderbirds Are Go
288,2004,Saturday Night Live: The Best of Chris Kattan
289,1998,The Avengers
290,2004,Harold and Kumar Go to White Castle
292,2005,Saturday Night Live: The Best of Gilda Radner
293,2003,Lennon Legend: The Very Best of John Lennon
294,2002,Oasis
295,1995,Ace Ventura: When Nature Calls
296,2000,In His Life: The John Lennon Story
297,2003,The Hebrew Hammer
299,2001,Bridget Jones's Diary
301,2003,Hard Ground
303,1959,Les Liaisons Dangereuses
305,1996,Jack
307,2002,Godsmack: Smack This!
308,1974,The Legend of the 7 Golden Vampires/7 Brothers of Dracula
309,1975,The Day of the Locust
311,1994,Ed Wood
312,2000,High Fidelity
313,2000,Pay It Forward
317,1997,Mandela and de Klerk
318,1994,Beyond Suspicion
319,1987,Straight to Hell
320,1997,Eat Your Heart Out
321,2004,Ju-Rei: The Uncanny
322,1974,Flesh Gordon
329,1999,Dogma
330,1998,Wild Things
331,1997,Chasing Amy
332,2002,They Crawl
334,2005,The Pacifier
335,1981,Fear No Evil
336,1978,The Driver
337,1983,Star 80
341,2004,Tremors 4: The Legend Begins
342,2001,Noir
343,2000,French and Saunders: Live
344,1967,The Taming of the Shrew
347,1989,Iceman Cometh
348,1988,The Last Temptation of Christ
349,1978,The Swarm
350,1993,Dr. Quinn, Medicine Woman: Season 3
351,1969,Guns of the Magnificent Seven
352,1997,Pick a Card
353,2002,Life or Something Like It
354,1981,Sadomania
357,2003,House of Sand and Fog
358,1979,The Onion Field
362,2000,The Flintstones in Viva Rock Vegas
363,2002,Stark Raving Mad
369,2000,Playing Mona Lisa
370,1918,Chaplin
371,1966,The Trouble with Angels
372,1998,Jeans
374,1976,The Little Girl Who Lives Down the Lane
377,1979,Dick Francis: The Racing Game
378,2003,Party Monster
379,1996,Crash Dive
380,1992,Live Wire
381,1991,Out for Justice
382,2004,Buried in the Sand: The Deception of America
383,2001,Hit Team
384,1986,Crossroads
385,2002,The Santa Clause 2
386,1994,Princess Caraboo
387,1984,Bizet's Carmen
388,1990,Body Chemistry
389,2002,Steal
390,1981,The Fan
392,1993,Danielle Steel's Heartbeat
393,1998,The Replacement Killers
395,1935,Captain Blood
397,1946,A Night in Casablanca
398,1976,In the Realm of the Senses
400,1970,Rio Lobo
401,1989,Halloween 5: The Revenge of Michael Myers
402,1999,Pan Tadeusz
404,2001,The Shaft
405,1987,Wings of Desire
406,2005,Hostage
407,1972,The Abductors
408,1990,Nightbreed
409,1966,Godzilla vs. The Sea Monster
410,1998,Frank Lloyd Wright
411,1999,Vendetta
413,2002,Igby Goes Down
415,2002,Reign in Darkness
416,2003,Elephant
418,2004,The Deal
422,1964,The Unsinkable Molly Brown
423,1963,My Favorite Martian #1
424,1998,Happiness
425,2000,The 10th Kingdom
426,2001,Recess: School's Out
427,1990,Graveyard Shift
428,2004,Barney: Barney's Colorful World: Live
429,1997,Zeus and Roxanne
430,2002,Chobits
433,1993,Untamed Heart
435,1996,Love Can Seriously Damage Your Health
436,1985,Girls Just Want to Have Fun
438,1997,Bean: The Movie
439,1961,Town Without Pity
440,2003,Just 4 Kicks
442,1988,Mississippi Burning
443,2002,Rabbit-Proof Fence
445,1996,Michael Collins
446,1995,The Underneath
449,2003,Jimmy Buffett: MiniMatinee #1
450,2000,Isaac Stern: Life's Virtuoso
452,2002,Scorched
453,1992,Simple Men
455,1999,Cardcaptor Sakura: The Movie
457,2004,Kill Bill: Vol. 2
459,1996,Basquiat
460,1971,Pink Narcissus
465,1995,Coolie No.1
466,1990,Doogie Howser, M.D.: Season 2
467,1941,Topper Returns
468,2003,The Matrix: Revolutions
470,2001,Beneath Loch Ness
471,1931,City Lights
472,1998,Mr. Jealousy
473,1997,Princess Mononoke
474,1998,Legend of 1900
475,1993,Surf Ninjas
478,1962,The Beverly Hillbillies
479,1988,George Carlin: What Am I Doing in New Jersey?
481,2002,Building the Great Pyramid
482,2002,Frida
483,2001,Rush Hour 2
484,1992,Danielle Steel's Jewels
486,1959,Journey to the Center of the Earth
488,2001,His Secret Life
489,1998,Return to Paradise
490,1999,The Passion of Ayn Rand
491,1966,Torn Curtain
492,1984,Mrs. Soffel
495,2000,Mission Kashmir
497,2003,Broadway's Lost Treasures
499,2000,Under Suspicion
501,1975,Three Days of the Condor
505,1997,A Thousand Acres
507,1966,Nevada Smith
508,1979,Saint Jack
511,2002,Avenging Angelo
513,1995,Butterfly Kiss
514,2000,Santana: Supernatural Live
515,2005,Avia Vampire Hunter
516,2001,Monsoon Wedding
517,2001,Two Can Play That Game
518,1969,The Prime of Miss Jean Brodie
522,1999,Love Songs
523,1969,My Side of the Mountain
524,1999,Mumford
525,1999,The Last Seduction II
526,1994,Angie
527,1985,Barbarian Queen
528,2005,The Hitchhiker's Guide to the Galaxy
529,1998,Summer of the Monkeys
530,1987,Return to Horror High
532,1988,Young Einstein
533,1991,Drop Dead Fred
534,2000,With a Friend Like Harry
535,1960,The Alamo
538,2003,A Crime of Passion
542,1997,The Blackout
543,1999,Roughnecks: The Starship Troopers Chronicles: The Pluto Campaign
546,2005,The Strip Game
547,1992,Kuffs
548,1991,Hudson Hawk
549,1955,Rage at Dawn
550,1995,First Knight
551,1994,The Santa Clause
552,1994,Radioland Murders
553,1995,Rangeela
555,1996,Cadfael: A Morbid Taste for Bones
556,1999,New Waterford Girl
557,1991,Liebestraum
558,1994,Fantastic Four
561,1963,High and Low
562,2002,Bloody Mallory
563,2001,Jimmy Neutron: Boy Genius
564,1990,Predator 2
566,1996,Bullet
567,2003,Dunsmore
569,1979,The In-Laws
570,2000,The Visit
571,1999,American Beauty
573,1983,Winners & Sinners
574,1960,Strangers When We Meet
578,1963,The Terror
582,1986,Jo Jo Dancer, Your Life is Calling
583,1959,Third Man on the Mountain
584,1998,The Curve
585,1995,My Family
586,1995,Shanghai Triad
587,1983,The Scarlet and the Black
590,2001,Michael McDonald: A Gathering of Friends
591,2003,Particles of Truth
592,1974,House of Whipcord
597,1977,The Brady Bunch Variety Hour
599,1989,Sea of Love
600,1966,What's Up, Tiger Lily?
602,2000,Tokyo Raiders
607,1994,Speed
608,1970,The Lickerish Quartet
612,1946,Cloak and Dagger
614,1993,Bad Boy Bubby
615,1999,An Ideal Husband
620,2003,Hot Wheels: World Race
621,1997,Armageddon
622,1991,Talkin' Dirty After Dark
625,1999,Underground Comedy Movie
626,1941,They Died with Their Boots On
627,1971,Beware of a Holy Whore
628,2003,Rescue Heroes: The Movie
629,1984,Firestarter
630,1977,Empire of the Ants
631,2005,Unleashed
632,1972,Shaft's Big Score!
633,1993,Baazigar
636,1980,Stir Crazy
638,1985,The Last Dragon
639,2002,Jim Brown: All-American
640,1992,To Catch a Killer
641,1968,Charly
642,1990,Mystery Science Theater 3000: The Hellcats
643,2002,Buying the Cow
644,1994,Cheyenne Warrior
645,2004,Dear Frankie
646,1987,Matewan
647,1960,Cinderfella
652,1996,Marvin's Room
653,2000,American Tragedy
658,1991,Robin Hood: Prince of Thieves
659,1972,The Last House on the Left
660,2000,Saving Grace
662,1995,Rob Roy
664,1997,Office Killer
665,1976,Lipstick
666,2000,The Man Who Came to Dinner
668,2004,Saturday Night Live: The Best of Will Ferrell 2
670,2002,He Loves Me, He Loves Me Not
671,1989,The Winter People
672,1991,He Said, She Said
674,1988,Hellbound: Hellraiser II
676,1998,Mafia!
678,1965,Loves of a Blonde
679,1990,R.E.M.: Pop Screen
680,2000,Better Than Sex
681,1986,Police Academy 3: Back in Training
682,1998,The Mighty
683,1951,Cavalry Charge
684,1995,Visitors of the Night
685,1999,Running Out of Time
686,2000,Bedazzled
687,2003,Peter Jennings Reports: The Kennedy Assassination: Beyond Conspiracy
688,2003,The History Channel Presents: The Alamo
689,1998,One True Thing
690,2004,Baby Einstein: Baby Da Vinci
691,1999,Angel's Dance
692,1992,The Hand that Rocks the Cradle
693,1996,The Quest
695,2004,Koma
696,1996,Last Man Standing
698,1997,Daud
700,1997,Todd McFarlane's Spawn
701,2002,Nine Lives
703,2004,Japan: Memoirs of a Secret Empire
704,1998,A Change of Heart
705,1989,Major League
706,1991,Mobsters
707,2003,The Return
708,2000,The Perfect Storm
709,1998,Africans in America: America's Journey Through Slavery
714,1988,Whisper Kill
716,1958,The Bravados
717,2004,Testosterone
718,2003,44 Minutes
719,1997,City of Industry
720,1989,Roger & Me
721,1994,Royal Deceit
723,1991,Curly Sue
724,1992,Yu Yu Hakusho
725,2004,Woman Thou Art Loosed
726,1990,The Haunting of Morella
727,1959,Carlton-Browne of the F.O.
728,1977,Abigail's Party
729,2000,Fast Food, Fast Women
731,1997,Mr. Magoo
733,1988,Dead Ringers
734,1992,Indochine
738,1999,A Slipping Down Life
739,2001,Treading Water
740,1988,The House on Carroll Street
742,2002,Sherlock: Case of Evil
743,1994,Widows' Peak
744,1998,Hot War
746,2001,Domestic Disturbance
748,2002,I Can Do Bad All By Myself
749,1990,Ernest Goes to Jail
750,2004,The Librarian: Quest for the Spear
751,1998,Halloween: H2O
752,1993,Star Trek: The Next Generation: Season 7
754,1984,The Lonely Guy
755,1989,Music Box
757,1984,Sherlock Hound
758,2004,Mean Girls
759,2001,Fifteen Minutes
760,2005,Pooh's Heffalump Movie
761,2000,O Fantasma
763,1972,The Poseidon Adventure
766,1959,A Hole in the Head
767,2001,Edges of the Lord
768,1995,The Star Maker
769,1958,The Crawling Eye
770,1996,A Perfect Candidate
772,1998,Gloria Estefan: Don't Stop!
773,2001,He Died with a Felafel in His Hand
780,2003,Churchill
781,2004,Care Bears: Journey to Joke-a-Lot
785,1981,American Pop
786,1966,Tokyo Drifter
787,1972,La Vallee
788,1994,Clerks
789,1991,Boyz N the Hood
791,2000,Don Henley: Live Inside Job
794,1992,A Stranger Among Us
797,1959,Look Back in Anger
798,1975,Jaws
800,1971,Dracula Vs. Frankenstein
801,2001,We Know Where You Live. Live!
802,1928,Spies
803,2001,Soul Assassin
804,1944,Sherlock Holmes: The Scarlet Claw
806,1960,Eyes Without a Face
807,1959,The Mouse That Roared
808,1998,Dead Man on Campus